experiment_id,dataset,model_name,training_strategy,head_type,learning_rate,batch_size,weight_decay,epochs,frozen_epochs,patience,seed,epoch,phase,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,epoch_time,trainable_parameters
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed999,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,2,999,12,train_val,0.3783086831569671,86.94666666666667,99.62444444444444,0.4645438722610474,84.68,99.32,49.39188659999854,11181642
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed999,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,2,999,13,train_val,0.3636950347158644,87.19333333333333,99.69777777777776,0.4489277063369751,84.82,99.32,48.90929160000087,11181642
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,1,train_val,1.6142898346371122,39.906666666666666,89.21111111111111,1.2850899856567384,53.62,94.96,27.694614,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,2,train_val,1.304768013021681,53.08444444444444,94.05333333333331,1.100843552017212,60.48,96.24,27.0996997000002,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,3,train_val,1.1587372529347737,58.42888888888889,95.52222222222224,1.0304334033966065,63.38,96.4,27.21548999999868,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,4,train_val,1.0647336876021491,62.00888888888889,96.23777777777778,1.075996197605133,61.34,96.56,27.03668789999938,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,5,train_val,0.9924429848564996,64.66444444444444,96.75555555555556,0.8795600938796997,69.44,97.46,26.922786399998586,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,6,train_val,0.9409754213756986,66.77777777777777,97.11555555555556,0.8301031087875366,70.38,97.76,27.10831739999776,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,7,train_val,0.8901922848807441,68.74222222222222,97.44444444444444,0.7595808500766754,73.6,98.1,27.72623509999903,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,8,train_val,0.8430009079615275,70.57555555555555,97.74222222222222,0.8144766451358795,72.2,98.16,27.30117289999908,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,9,train_val,0.8158531509399414,71.68888888888888,97.77777777777776,0.7209045978069305,75.54,98.42,27.184457300001668,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,10,train_val,0.7830425462298923,72.59777777777778,98.14,0.745669534111023,74.58,98.28,27.106626400000096,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,11,train_val,0.7529633897569444,73.81555555555556,98.21777777777778,0.7019351181983948,76.66,98.58,27.12403260000065,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,12,train_val,0.7325071352852716,74.52888888888889,98.28444444444445,0.6547165528774261,77.74,98.72,27.02270779999889,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,13,train_val,0.7113453707800971,75.27111111111111,98.42666666666666,0.6407816760063172,78.82,98.5,27.26081709999925,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,14,train_val,0.6944650293986002,75.97111111111111,98.47777777777776,0.621915794467926,79.2,98.94,26.89484530000118,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,15,train_val,0.6806478417184618,76.50222222222222,98.41777777777776,0.5956286872625352,79.54,98.86,27.03426850000324,141354
